"Lesson 1:","",""
"私","わたし","я"
"～間","～かん","в течение ~ (о промежутке)"
"いいことですね。","いいことですね。","это хорошо"
"お忙しいですか。","おいそがしいですか。","вы заняты?"
"久しぶり","ひさしぶり","давно не виделись"
"営業","えいぎょう","бизнес, продажи"
"それまでに","それまでに","к тому времени"
"かまいません","かまいません","ничего страшного, не важно"
"楽しみです","たのしみです","с нетерпением жду, в радость"
"もともと","もともと","изначально"
"～世紀","～せいき","～-й век"
"代わりをします","かわりをします","быть заменой, замещать"
"競走します","きょうそうします","состязаться в беге"
"芸","げい","трюк, мастерство"
"美しい","うつくしい","красивый, прекрасный"
"姿","すがた","облик, фигура"
"心","こころ","сердце, душа"
"とらえます","とらえます","ловить, схватывать"
"～にとって","～にとって","для ~ (с точки зрения)"
"","",""
"","",""
"Lesson 49:","",""
"勤めます「会社に」","つとめます「かいしゃに」","работать (в компании)"
"休みます","やすみます","ложиться спать"
"掛けます「いすに」","かけます「いすに」","садиться (на стул)"
"過ごします","すごします","проводить (время)"
"寄ります「銀行に」","よります「ぎんこうに」","заходить (в банк)"
"召し上がります","めしあがります","кушать, пить (почтительно)"
"おっしゃいます","おっしゃいます","говорить (почтительно)"
"なさいます","なさいます","делать (почтительно)"
"ご覧にあります","ごらんにあります","смотреть (почтительно)"
"ご存知です","ごぞんじです","знать (почтительно)"
"あいさつ","あいさつ","приветствие, обращение"
"灰皿","はいざら","пепельница"
"旅館","りょかん","рёкан (гостиница в японском стиле)"
"会場","かいじょう","место проведения, зал"
"バス停","バスてい","автобусная остановка"
"貿易","ぼうえき","внешняя торговля"
"帰りに","かえりに","на обратном пути"
"たまに","たまに","изредка"
"さっとも","さっとも","совсем не (с отрицанием)"
"遠慮なく","えんりょなく","не стесняясь, без церемоний"
"～年～組","～ねん～くみ","～класс ～-го года обучения"
"では","では","итак, ну что ж"
"出します「熱を」","だします「ねつを」","подниматься (о температуре)"
"よろしくお伝えください","よろしくおつたえください","передавайте привет"
"失礼いたします","しつれいいたします","до свидания (скромно)"
"講師","こうし","преподаватель, лектор"
"多くの～","おおくの～","многие ~, много ~"
"作品","さくひん","произведение (искусства)"
"受賞します","じゅしょうします","получать награду"
"世界的に","せかいてきに","во всём мире, всемирно"
"作家","さっか","писатель"
"長男","ちょうなん","старший сын"
"障害","しょうがい","инвалидность, недостаток"
"お持ちです","おもちです","иметь (почтительно)"
"作曲","さっきょく","сочинение музыки"
"活動","だつどう","деятельность"
"それでは","それでは","итак, в таком случае"
"","",""
"","",""
"Lesson 50:","",""
"参ります","まいります","идти, приходить (скромно)"
"おります","おります","быть, находиться (скромно)"
"いただきます","いただきます","есть, пить, получать (скромно)"
"申します","もうします","говорить (скромно)"
"いたします","いたします","делать (скромно)"
"拝見します","はいけんします","смотреть (скромно)"
"存じます","ぞんじます","знать (скромно)"
"伺います","うかがいます","спрашивать, навещать (скромно)"
"お目にかかります","おめにかかります","встречаться (скромно)"
"ございます","ございます","быть, иметься (вежливо)"
"～でございます","～でございます","быть (вежливая форма です)"
"私","わたくし","я (скромно)"
"お宅","おたく","(чей-то) дом"
"郊外","こうがい","пригород"
"さ来週","さらいしゅう","через неделю (после следующей)"
"さ来月","さらいげつ","через месяц (после следующего)"
"さ来年","さらいねん","через год (после следующего)"
"半年","はんとし","полгода"
"最初に","さいしょに","сперва, в самом начале"
"最後に","さいごに","напоследок, в конце"
"ただ今","ただいま","сейчас, только что"
"緊張します","きんちょうします","волноваться, напрягаться"
"放送します","ほうそうします","вести трансляцию"
"撮ります「ビデオに」","とります「ビデオに」","записывать (на видео)"
"賞金","しょうきん","денежный приз"
"自然","しぜん","природа"
"麒麟","きりん","жираф"
"象","ぞう","слон"
"ころ","ころ","время, пора"
"適います「夢が」","かないます「ゆめが」","сбываться (о мечте)"
"ひとことよろしいでしょうか","ひとことよろしいでしょうか","можно сказать пару слов?"
"協力します","きょうりょくします","сотрудничать, содействовать"
"心から","こころから","от всего сердца"
"感謝します","かんしゃします","благодарить, быть признательным"
"拝啓","はいけい","уважаемый ~ (начало письма)"
"美しい","うつくしい","красивый, прекрасный"
"迷惑掛けます","まいわくかけます","причинять беспокойство"
"生かします","いかします","использовать с пользой"
"「お」城","「お」しろ","замок (крепость)"
"敬具","けいぐ","с уважением (конец письма)"
